*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	554
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   2.14162361E-09

NucId    NucName  MT
                  102   1.31379213E-01   1.34668323E-01
                  103   9.52793966E-03   9.55998616E-03
                  107   4.99583474E-03   5.01628340E-03
300650   Zn65     4       
                  16    1.06110302E-04   2.75288240E-04
                  102   8.40556758E+00   8.32832068E+00
                  103   1.88460083E-01   1.92259314E-01
                  107   4.80361182E-01   4.82151361E-01
300660   Zn66     4       
                  16    4.22632046E-07   2.49163893E-05
                  102   1.02595029E-01   9.89511137E-02
                  103   2.96802469E-04   2.97996599E-04
                  107   3.56941312E-04   3.58379302E-04
300670   Zn67     4       
                  16    4.57297444E-04   6.34036936E-04
                  102   1.54702027E+00   1.44153501E+00
                  103   2.47285564E-04   2.53162312E-04
                  107   8.88632810E-04   8.99620079E-04
300680   Zn68     4       
                  16    3.11630577E-06   1.05073566E-04
                  102   2.12781897E-01   2.15210146E-01
                  103   7.76090128E-06   1.03822681E-05
                  107   1.98936449E-05   2.05563615E-05
300690   Zn69     4       
                  16    9.84304126E-04   1.11822668E-03
                  102   7.04183203E-02   6.92986252E-02
                  103   8.87183084E-06   1.32092990E-05
                  107   1.87385559E-04   1.92285143E-04
300700   Zn70     4       
                  16    1.58754537E-05   2.23978835E-04
                  102   1.42353831E-02   1.39065910E-02
                  103   2.08468294E-07   7.58086590E-07
                  107   2.04277433E-06   2.62609179E-06
310690   Ga69     4       
                  16    1.26908862E-06   5.36584676E-05
                  102   6.82923581E-01   6.78046602E-01
                  103   6.88117583E-04   7.00594083E-04
                  107   1.13389278E-04   1.16143781E-04
310700   Ga70     4       
                  16    2.38203273E-04   4.10315248E-04
                  102   2.30471225E-01   2.23891370E-01
                  103   3.59258791E-01   3.55055313E-01
                  107   1.11660334E-02   1.10498329E-02
310710   Ga71     4       
                  16    4.56556851E-06   1.07984510E-04
                  102   1.49582107E+00   1.62225077E+00
                  103   1.48195183E-05   1.63470297E-05
                  107   2.72940604E-06   3.50966897E-06
320700   Ge70     4       
                  16    5.31580524E-08   8.69630457E-06
                  102   4.16926359E-01   4.10074446E-01
                  103   7.32108323E-04   7.36396125E-04
                  107   9.35068844E-04   9.46167730E-04
320710   Ge71     4       
                  16    2.78483385E-04   4.41217523E-04
                  102   2.86298665E+00   2.94193273E+00
                  103   1.58640182E-03   1.60451960E-03
                  107   3.62721268E+00   3.58434549E+00
320720   Ge72     5       
                  16    1.15486129E-06   5.42978624E-05
                  102   6.49990822E-02   6.35604502E-02
                  103   3.68529397E-05   4.07377233E-05
                  107   2.32552475E-05   2.41287418E-05
                  1021  6.46878336E-02   6.32560905E-02
320730   Ge73     4       
                  16    3.70696442E-04   5.77901363E-04
                  102   2.98305174E+00   3.14774099E+00
                  103   2.03461128E-05   2.28097016E-05
                  107   3.22605759E-05   3.33603788E-05
320740   Ge74     5       
                  16    3.73259671E-06   1.22203567E-04
                  102   5.21261365E-02   5.44807414E-02
                  103   1.31483331E-06   2.38988295E-06
                  107   1.02151476E-06   1.43882538E-06
                  1021  2.61413357E-02   2.73221736E-02
320750   Ge75     4       
                  16    1.11173932E-03   1.26726904E-03
                  102   1.02375497E-01   9.89934859E-02
                  103   2.08631395E-06   3.02928133E-06
                  107   2.11881274E-06   3.08679782E-06
320760   Ge76     4       
                  16    1.40958623E-05   2.34117338E-04
                  102   2.99924360E-02   2.43214280E-02
                  103   4.70415359E-08   2.87320874E-07
                  1021  4.48950447E-02   3.64062325E-02
330730   As73     4       
                  16    4.57751495E-07   2.52833050E-05
                  102   5.43181900E+00   5.77589968E+00
                  103   3.43099743E-03   3.46030447E-03
                  107   1.68307840E-04   1.74327116E-04
330740   As74     4       
                  16    2.65922775E-04   5.14920000E-04
                  102   8.04427610E+00   8.00133017E+00
                  103   3.62497208E-01   3.77795771E-01
                  107   4.46090337E-04   4.60629801E-04
330750   As75     4       
                  16    2.40394829E-06   9.12832350E-05
                  102   2.27684340E+00   2.58934165E+00
                  103   1.22922256E-04   1.26341208E-04
                  107   6.28233591E-06   7.36008364E-06
340740   Se74     4       
                  16    0.00000000E+00   4.69125480E-06
                  102   2.18013903E+01   1.95719740E+01
                  103   4.69215254E-03   4.70096183E-03
                  107   1.13120257E-03   1.12873749E-03
340750   Se75     4       
                  16    1.16133308E-04   3.24050773E-04
                  102   4.21916804E+01   4.41125171E+01
                  103   1.65360622E-02   1.64922820E-02
                  107   7.65830008E-02   7.61043800E-02
340760   Se76     5       
                  16    5.73316937E-07   3.28243484E-05
                  102   7.65074621E+00   7.58238460E+00
                  103   1.48267310E-04   1.54558683E-04
                  107   6.32764864E-05   6.39548624E-05
                  1021  2.67554102E+00   2.65163430E+00
340770   Se77     4       
                  16    8.10596083E-04   9.49535565E-04
                  102   5.42040579E+00   5.39309453E+00
                  103   2.30349596E-04   2.35956452E-04
                  107   1.89764355E-04   1.92124644E-04
340780   Se78     5       
                  16    2.73422366E-06   1.02545594E-04
                  102   2.39534201E-02   2.83359348E-02
                  103   3.68999464E-06   5.37018908E-06
                  107   3.58971420E-06   4.13780712E-06
                  1021  1.79386309E-01   2.12206805E-01
340790   Se79     4       
                  16    1.47694762E-03   1.53322874E-03
                  102   7.01427868E+00   7.17862512E+00
                  103   6.13422253E-06   6.90680521E-06
                  107   1.99497367E-05   2.05394512E-05
340800   Se80     5       
                  16    7.00225433E-06   2.02667412E-04
                  102   8.48532479E-02   8.47918844E-02
                  103   3.61233066E-07   1.37835448E-06
                  107   1.39663244E-06   2.57252568E-06
                  1021  1.55172843E-02   1.55060626E-02
340810   Se81     4       
                  16    1.00531478E-03   1.17352809E-03
                  102   7.07939130E-02   7.35733695E-02
                  103   7.06479301E-07   1.16741521E-06
                  107   2.57691792E-07   4.61143324E-07
340820   Se82     3       
                  16    3.27556580E-05   2.84330428E-04
                  102   2.13187745E-03   2.11565194E-03
                  1021  1.30740958E-02   1.29745901E-02
350790   Br79     5       
                  16    1.51500485E-06   6.72247404E-05
                  102   3.23503970E+00   3.12804888E+00
                  103   1.18466786E-03   1.19499357E-03
                  107   1.26877116E-05   1.37837137E-05
                  1021  9.73415745E-01   9.41222462E-01
350800   Br80     4       
                  16    3.08454304E-04   5.41316335E-04
                  102   1.46322980E+00   1.48844018E+00
                  103   1.92765381E+01   1.90504207E+01
                  107   4.19346611E-05   4.44417935E-05
350810   Br81     5       
                  16    4.62099271E-06   1.43695117E-04
                  102   1.60506752E-01   1.75802999E-01
                  103   5.76059153E-05   5.98739616E-05
                  107   4.91397702E-07   9.16109903E-07
                  1021  1.59558463E+00   1.74764338E+00
360780   Kr78     5       
                  16    0.00000000E+00   4.32701012E-06
                  102   1.20682684E+00   1.15314470E+00
                  103   5.52085821E-03   5.61974955E-03
                  107   2.64043297E-04   2.63478743E-04
                  1021  3.68117007E-02   3.51742406E-02
360790   Kr79     4       
                  16    7.41180181E-05   2.59582811E-04
                  102   1.09978165E+00   1.13530089E+00
                  103   5.43511936E+01   5.36884361E+01
                  107   5.33749005E+00   5.27245735E+00
360800   Kr80     5       
                  16    1.37668857E-07   1.48112962E-05
                  102   1.65151735E+00   1.72939117E+00
                  103   3.11298168E-04   3.11975443E-04
                  107   4.66538788E-05   4.77452185E-05
                  1021  1.08686327E+00   1.13811202E+00
360810   Kr81     4       
                  16    1.21524725E-04   3.18972189E-04
                  102   5.46732109E+00   5.49107925E+00
                  103   6.17342659E-04   6.29179472E-04
                  107   5.12199613E-05   5.51544869E-05
360820   Kr82     5       
                  16    9.73810181E-07   5.12260332E-05
                  102   2.02698953E+00   2.09069494E+00
                  103   2.04894309E-05   2.26483340E-05
                  107   4.97865316E-06   5.60380361E-06
                  1021  4.06006611E+00   4.18766824E+00
360830   Kr83     4       
                  16    5.55755975E-04   7.39673953E-04
                  102   2.62581691E+01   2.65442033E+01
                  103   3.04261455E-05   3.23873984E-05
                  107   1.32559510E-06   1.56456357E-06
360840   Kr84     5       
                  16    2.49868901E-06   9.39605588E-05
                  102   1.40657572E-02   1.23430466E-02
                  103   1.24089477E-06   2.02930241E-06
                  107   1.55436950E-07   3.74171462E-07
                  1021  6.24201437E-02   5.47752057E-02
360850   Kr85     4       
                  16    2.09786725E-04   3.87953432E-04
                  102   2.68954577E-01   2.69324164E-01
                  103   7.50169563E-07   1.66116301E-06
                  107   8.85307017E-08   2.60529091E-07
360860   Kr86     3       
                  16    5.45386781E-06   1.58720828E-04
                  102   1.11234373E-03   1.10722472E-03
                  103   7.45326742E-09   2.34688528E-07
370850   Rb85     5       
                  16    2.37099414E-06   9.17590955E-05
                  102   3.04468744E-01   2.89499484E-01
                  103   1.07150659E-04   1.09916319E-04
                  107   7.12365307E-07   1.25727781E-06
                  1021  4.18726779E-02   3.98140003E-02
370860   Rb86     4       
                  16    6.70357681E-05   2.74340723E-04
                  102   1.43952339E+00   1.45332297E+00
                  103   8.62420204E-05   9.09535097E-05
                  107   8.71569430E-07   1.94138741E-06
370870   Rb87     4       
                  16    6.22517542E-06   1.84696143E-04
                  102   9.60649698E-02   1.03342665E-01
                  103   1.13972772E-06   2.10750837E-06
                  107   3.62441117E-08   2.22774734E-07
380840   Sr84     5       
                  16    0.00000000E+00   7.06311116E-06
                  102   1.04346028E-01   1.19357912E-01
                  103   9.99336320E-04   1.01515226E-03
                  107   2.49717488E-05   2.53926662E-05
                  1021  3.08088865E-01   3.52412492E-01
380850   Sr85     4       
                  16    1.92512049E-05   1.16824654E-04
                  102   8.78839250E-01   8.83536867E-01
                  103   1.85742789E-02   1.83991992E-02
                  107   4.14774948E-04   4.13147580E-04
380860   Sr86     5       
                  16    2.48429145E-07   1.84186182E-05
                  102   5.86364178E-02   5.00864755E-02
                  103   1.48729571E-04   1.50523430E-04
                  107   1.01742842E-06   1.66450960E-06
                  1021  2.36315382E-01   2.01857566E-01
380870   Sr87     4       
                  16    2.37947192E-04   4.94652775E-04
                  102   4.53679980E+00   4.45265581E+00
                  103   1.58424336E-04   1.61822542E-04
                  107   7.06099257E-06   7.44335022E-06
380880   Sr88     3       
                  16    4.45454053E-07   2.55623418E-05
                  102   2.86342836E-03   3.08688543E-03
                  103   8.28144117E-07   1.96846920E-06
380890   Sr89     4       
                  16    1.84114272E-03   1.95327743E-03
                  102   5.89032815E-02   5.94732216E-02
                  103   2.98717313E-07   9.19368692E-07
                  107   6.47774892E-07   9.81511661E-07
380900   Sr90     4       
                  16    6.48624660E-04   8.34060813E-04
                  102   6.37594072E-03   6.35645407E-03
                  103   2.01573609E-08   2.49753709E-07
